model,r2,rmse,mae,mape
Random_Forest,0.9690632645573581,3.8680459357736114,3.137527299668029,4.0278207339721
Gradient_Boosting,0.9675411757299786,3.962057496300425,3.2005369070579577,4.108494555876647
Polynomial_Regression,0.9638505504710363,4.1812412422990395,3.4400728289087916,4.510549205277511
Multiple_Linear_Regression,0.9507275116422675,4.881537490330816,3.8630870591780653,5.021669093440222
Persistence_24h,0.4351035060576961,16.528704708800426,10.27706439790576,13.70348472336668
Simple_Linear_Regression,0.0961874594527774,20.9070887468884,16.69981445014693,21.00003883478815
