,count,mean,std,min,25%,50%,75%,max
total_consumption_kwh,8592.0,74.42785719273743,20.9848908741314,48.7108,53.230875,69.83834999999999,94.88662500000001,117.9449
temperature_c,8592.0,10.27915270018622,10.923967677585628,-10.86,0.4,10.41,20.1325,30.84
irradiation_w_m2,8592.0,154.2490060521415,225.39580379821157,0.0,0.0,24.32,224.865,879.62
hdd_18,8592.0,9.337852653631286,8.96719465543878,0.0,0.0,7.59,17.6,28.86
cdd_22,8592.0,0.6007018156424581,1.5745465955310036,0.0,0.0,0.0,0.0,8.84
kwh_per_m2,8592.0,0.014313049460141766,0.004035555937332962,0.0093674615384615,0.010236706730769174,0.01343045192307685,0.018247427884615326,0.0226817115384615
